"filename", "language", "JSON", "JSON with Comments", "Ignore", "Markdown", "MS SQL", "JavaScript", "Docker", "JavaScript JSX", "YAML", "CSV", "Properties", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Ministerra\frontend\src\css\FluiDesign.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3150, 0, 5, 50, 3205
"c:\Ministerra\frontend\src\css\SpacingElements.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 833, 0, 1, 44, 878
"c:\Ministerra\frontend\src\css\VisualClasses.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1018, 0, 18, 126, 1162
"c:\Ministerra\frontend\src\css\VisualClasses_backup.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1680, 0, 22, 200, 1902
"c:\Ministerra\frontend\src\hooks\socketIO\README.md", "Markdown", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 212
"c:\Ministerra\frontend\src\hooks\socketIO\alertsHandlers.js", "JavaScript", 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 25, 30, 347
"c:\Ministerra\frontend\src\hooks\socketIO\chatsHandlers.js", "JavaScript", 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 0, 13, 37, 337
"c:\Ministerra\frontend\src\hooks\socketIO\socketHandlers.js", "JavaScript", 0, 0, 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 21, 33, 275
"c:\Ministerra\frontend\src\hooks\socketIO\transport.js", "JavaScript", 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 0, 20, 42, 294
"c:\Ministerra\frontend\src\hooks\useCentralFlex.js", "JavaScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 54
"c:\Ministerra\frontend\src\hooks\useCommentsMan.js", "JavaScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 60
"c:\Ministerra\frontend\src\hooks\useErrorsMan.js", "JavaScript", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 76
"c:\Ministerra\frontend\src\hooks\useFadeIn.js", "JavaScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Ministerra\frontend\src\hooks\useLinksAndBlocks.js", "JavaScript", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 121
"c:\Ministerra\frontend\src\hooks\useMasonResize.js", "JavaScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"c:\Ministerra\frontend\src\hooks\useScrollDir.js", "JavaScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Ministerra\frontend\src\hooks\useSocketIO.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7
"c:\Ministerra\frontend\src\hooks\useToast.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 4, 14, 78
"c:\Ministerra\frontend\src\loaders\editorLoader.js", "JavaScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 33
"c:\Ministerra\frontend\src\loaders\eventLoader.js", "JavaScript", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 101
"c:\Ministerra\frontend\src\loaders\foundationLoader.js", "JavaScript", 0, 0, 0, 0, 0, 337, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34, 378
"c:\Ministerra\frontend\src\loaders\setupLoader.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Ministerra\frontend\src\mainSections\AdvancedSetup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 319, 0, 0, 0, 0, 0, 0, 14, 27, 360
"c:\Ministerra\frontend\src\mainSections\Editor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 548, 0, 0, 0, 0, 0, 0, 45, 43, 636
