"filename", "language", "JavaScript", "JavaScript JSX", "Markdown", "JSON", "YAML", "MS SQL", "CSS", "comment", "blank", "total"
"c:\Ministerra\frontend\src\comp\IntersPrivsButtons.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Ministerra\frontend\src\comp\Invitations.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\src\comp\LocationPicker.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Ministerra\frontend\src\comp\LogoAndMenu.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 9, 0, 10
"c:\Ministerra\frontend\src\comp\Map.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, -1, -2, -3
"c:\Ministerra\frontend\src\comp\Masonry.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, -1, -1, -1
"c:\Ministerra\frontend\src\comp\MenuStrip.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 2, 0, 38
"c:\Ministerra\frontend\src\comp\OpenedChat.jsx", "JavaScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 11, 44
"c:\Ministerra\frontend\src\comp\QuickFriendly.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Ministerra\frontend\src\comp\RateAwards.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 0, 5, -1, 6
"c:\Ministerra\frontend\src\comp\Sherlock.jsx", "JavaScript JSX", 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Ministerra\frontend\src\comp\SimpleProtocol.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"c:\Ministerra\frontend\src\comp\TextArea.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Ministerra\frontend\src\comp\UserCard.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Ministerra\frontend\src\comp\bottomMenu\Alerts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Ministerra\frontend\src\comp\bottomMenu\Chats\Chat.jsx", "JavaScript JSX", 0, 39, 0, 0, 0, 0, 0, 3, 4, 46
"c:\Ministerra\frontend\src\comp\bottomMenu\Chats\chatSetupLogic.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 2, -4, 2
"c:\Ministerra\frontend\src\comp\bottomMenu\Chats\quickActions.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Ministerra\frontend\src\comp\bottomMenu\Chats\useChat.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 11, 4, 50
"c:\Ministerra\frontend\src\comp\bottomMenu\Gallery\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, -1, -2, -2
