Date : 2025-11-23 20:18:16
Directory : c:\Ministerra
Total : 278 files,  60717 codes, 2134 comments, 4792 blanks, all 67643 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Ministerra\frontend\src\comp\CatFilter.jsx                                                                | JavaScript JSX     |         80 |          3 |          7 |         90 |
| c:\Ministerra\frontend\src\comp\ChatSetup.jsx                                                                | JavaScript JSX     |        389 |          4 |          5 |        398 |
| c:\Ministerra\frontend\src\comp\ChatsList.jsx                                                                | JavaScript JSX     |        152 |          7 |         14 |        173 |
| c:\Ministerra\frontend\src\comp\Comment.jsx                                                                  | JavaScript JSX     |        168 |          8 |         14 |        190 |
| c:\Ministerra\frontend\src\comp\Content.jsx                                                                  | JavaScript JSX     |        278 |         29 |         26 |        333 |
| c:\Ministerra\frontend\src\comp\ContentIndis.jsx                                                             | JavaScript JSX     |         97 |          5 |          7 |        109 |
| c:\Ministerra\frontend\src\comp\DateTimePicker.jsx                                                           | JavaScript JSX     |        397 |         38 |         27 |        462 |
| c:\Ministerra\frontend\src\comp\Discussion.jsx                                                               | JavaScript JSX     |        252 |         22 |         26 |        300 |
| c:\Ministerra\frontend\src\comp\EmptyDiv.jsx                                                                 | JavaScript JSX     |          6 |          0 |          2 |          8 |
| c:\Ministerra\frontend\src\comp\EntranceForm.jsx                                                             | JavaScript JSX     |        687 |         39 |         40 |        766 |
| c:\Ministerra\frontend\src\comp\ErrorBoundary.jsx                                                            | JavaScript JSX     |         61 |          7 |         10 |         78 |
| c:\Ministerra\frontend\src\comp\EventBadges.jsx                                                              | JavaScript JSX     |         35 |          4 |          5 |         44 |
| c:\Ministerra\frontend\src\comp\EventCard.jsx                                                                | JavaScript JSX     |        294 |         20 |         19 |        333 |
| c:\Ministerra\frontend\src\comp\EventHeaderImage.jsx                                                         | JavaScript JSX     |         67 |          5 |          6 |         78 |
| c:\Ministerra\frontend\src\comp\FavexAreas.jsx                                                               | JavaScript JSX     |        181 |          1 |          3 |        185 |
| c:\Ministerra\frontend\src\comp\FavexSearch.jsx                                                              | JavaScript JSX     |         72 |          7 |         10 |         89 |
| c:\Ministerra\frontend\src\comp\Filter.jsx                                                                   | JavaScript JSX     |        122 |          8 |         12 |        142 |
| c:\Ministerra\frontend\src\comp\GenderAge.jsx                                                                | JavaScript JSX     |         74 |          5 |          6 |         85 |
| c:\Ministerra\frontend\src\comp\Groups.jsx                                                                   | JavaScript JSX     |        323 |          9 |          2 |        334 |
| c:\Ministerra\frontend\src\comp\HeaderImage.jsx                                                              | JavaScript JSX     |         74 |          4 |          7 |         85 |
| c:\Ministerra\frontend\src\comp\History.jsx                                                                  | JavaScript JSX     |        128 |          6 |         12 |        146 |
| c:\Ministerra\frontend\src\comp\ImageCropper.jsx                                                             | JavaScript JSX     |        412 |         51 |         67 |        530 |
| c:\Ministerra\frontend\src\comp\Indicators.jsx                                                               | JavaScript JSX     |         64 |          4 |          7 |         75 |
| c:\Ministerra\frontend\src\comp\IntersPrivsButtons.jsx                                                       | JavaScript JSX     |        157 |         10 |         17 |        184 |
| c:\Ministerra\frontend\src\comp\Invitations.jsx                                                              | JavaScript JSX     |        194 |         12 |         15 |        221 |
| c:\Ministerra\frontend\src\comp\LocationPicker.jsx                                                           | JavaScript JSX     |        345 |         15 |         35 |        395 |
| c:\Ministerra\frontend\src\comp\LogoAndMenu.jsx                                                              | JavaScript JSX     |        202 |         22 |         27 |        251 |
| c:\Ministerra\frontend\src\comp\Map.jsx                                                                      | JavaScript JSX     |        472 |         24 |         54 |        550 |
| c:\Ministerra\frontend\src\comp\Masonry.jsx                                                                  | JavaScript JSX     |        153 |         12 |         19 |        184 |
| c:\Ministerra\frontend\src\comp\MenuStrip.jsx                                                                | JavaScript JSX     |         57 |          1 |          6 |         64 |
| c:\Ministerra\frontend\src\comp\OpenedChat.jsx                                                               | JavaScript JSX     |        375 |         21 |         33 |        429 |
| c:\Ministerra\frontend\src\comp\Personals.jsx                                                                | JavaScript JSX     |         80 |          7 |          9 |         96 |
| c:\Ministerra\frontend\src\comp\QuickFriendly.jsx                                                            | JavaScript JSX     |        120 |          5 |          8 |        133 |
| c:\Ministerra\frontend\src\comp\RateAwards.jsx                                                               | JavaScript JSX     |        147 |          4 |         12 |        163 |
| c:\Ministerra\frontend\src\comp\SecEveButtons.jsx                                                            | JavaScript JSX     |         20 |          0 |          3 |         23 |
| c:\Ministerra\frontend\src\comp\Sherlock.jsx                                                                 | JavaScript JSX     |         66 |          5 |          8 |         79 |
| c:\Ministerra\frontend\src\comp\SimpleProtocol.jsx                                                           | JavaScript JSX     |        200 |         15 |         18 |        233 |
| c:\Ministerra\frontend\src\comp\SortMenu.jsx                                                                 | JavaScript JSX     |         46 |          0 |          4 |         50 |
| c:\Ministerra\frontend\src\comp\TextArea.jsx                                                                 | JavaScript JSX     |        224 |          3 |         19 |        246 |
| c:\Ministerra\frontend\src\comp\UserCard.jsx                                                                 | JavaScript JSX     |        350 |         24 |         21 |        395 |
| c:\Ministerra\frontend\src\comp\bottomMenu\Alerts.jsx                                                        | JavaScript JSX     |        252 |          5 |         22 |        279 |
| c:\Ministerra\frontend\src\comp\bottomMenu\Chats\Chat.jsx                                                    | JavaScript JSX     |        432 |         41 |         57 |        530 |
| c:\Ministerra\frontend\src\comp\bottomMenu\Chats\chatSetupLogic.js                                           | JavaScript         |         96 |          0 |         20 |        116 |
| c:\Ministerra\frontend\src\comp\bottomMenu\Chats\quickActions.js                                             | JavaScript         |         47 |          0 |          1 |         48 |
| c:\Ministerra\frontend\src\comp\bottomMenu\Chats\useChat.js                                                  | JavaScript         |        171 |          9 |         21 |        201 |
| c:\Ministerra\frontend\src\comp\bottomMenu\Gallery\index.jsx                                                 | JavaScript JSX     |        451 |         42 |         36 |        529 |
| c:\Ministerra\frontend\src\comp\bottomMenu\Gallery\updateGalleryArrays.js                                    | JavaScript         |         59 |          4 |          6 |         69 |
| c:\Ministerra\frontend\src\comp\bottomMenu\Menu.jsx                                                          | JavaScript JSX     |         54 |          0 |          7 |         61 |
| c:\Ministerra\frontend\src\comp\bottomMenu\Search.jsx                                                        | JavaScript JSX     |        331 |         29 |         30 |        390 |
| c:\Ministerra\frontend\src\comp\contentStrips\AlertStrip.jsx                                                 | JavaScript JSX     |        222 |          9 |         15 |        246 |
| c:\Ministerra\frontend\src\comp\contentStrips\ChatStrip.jsx                                                  | JavaScript JSX     |         95 |         11 |         11 |        117 |
| c:\Ministerra\frontend\src\comp\contentStrips\EventStrip.jsx                                                 | JavaScript JSX     |        142 |          8 |         11 |        161 |
| c:\Ministerra\frontend\src\comp\contentStrips\MessageStrip.jsx                                               | JavaScript JSX     |        115 |         13 |         10 |        138 |
| c:\Ministerra\frontend\src\comp\contentStrips\UserStrip.jsx                                                  | JavaScript JSX     |        236 |         11 |         14 |        261 |
| c:\Ministerra\frontend\src\comp\menuStrips\AlertMenuStrip.jsx                                                | JavaScript JSX     |        209 |          4 |         15 |        228 |
| c:\Ministerra\frontend\src\comp\menuStrips\ChatMenuStrip.jsx                                                 | JavaScript JSX     |         85 |          2 |          9 |         96 |
| c:\Ministerra\frontend\src\comp\menuStrips\ChatsListMenuStrip.jsx                                            | JavaScript JSX     |         13 |          1 |          5 |         19 |
| c:\Ministerra\frontend\src\comp\menuStrips\EveMenuStrip.jsx                                                  | JavaScript JSX     |        265 |         20 |         21 |        306 |
| c:\Ministerra\frontend\src\comp\menuStrips\MessMenuStrip.jsx                                                 | JavaScript JSX     |         43 |          1 |          8 |         52 |
| c:\Ministerra\frontend\src\comp\menuStrips\UserMenuStrip.jsx                                                 | JavaScript JSX     |        150 |          7 |         14 |        171 |
| c:\Ministerra\frontend\src\comp\menuStrips\helpers.js                                                        | JavaScript         |         40 |          1 |          8 |         49 |
| c:\Ministerra\frontend\src\comp\menuStrips\stripButtonsJSX.jsx                                               | JavaScript JSX     |         99 |          2 |          7 |        108 |
| c:\Ministerra\frontend\src\contexts\ErrorContext.jsx                                                         | JavaScript JSX     |         46 |          0 |         14 |         60 |
| c:\Ministerra\frontend\src\contexts\globalContext.js                                                         | JavaScript         |          3 |          2 |          3 |          8 |
| c:\Ministerra\frontend\src\css\FluiDesign.css                                                                | CSS                |      3,150 |          5 |         50 |      3,205 |
| c:\Ministerra\frontend\src\css\SpacingElements.css                                                           | CSS                |        833 |          1 |         44 |        878 |
| c:\Ministerra\frontend\src\css\VisualClasses.css                                                             | CSS                |      1,008 |         18 |        124 |      1,150 |
| c:\Ministerra\frontend\src\css\VisualClasses_backup.css                                                      | CSS                |      1,680 |         22 |        200 |      1,902 |
| c:\Ministerra\frontend\src\hooks\socketIO\README.md                                                          | Markdown           |        150 |          0 |         42 |        192 |
| c:\Ministerra\frontend\src\hooks\socketIO\alertsHandlers.js                                                  | JavaScript         |        279 |         20 |         28 |        327 |
| c:\Ministerra\frontend\src\hooks\socketIO\chatsHandlers.js                                                   | JavaScript         |        221 |          7 |         25 |        253 |
| c:\Ministerra\frontend\src\hooks\socketIO\socketHandlers.js                                                  | JavaScript         |        337 |          0 |         42 |        379 |
| c:\Ministerra\frontend\src\hooks\socketIO\transport.js                                                       | JavaScript         |        608 |          2 |         78 |        688 |
| c:\Ministerra\frontend\src\hooks\useCentralFlex.js                                                           | JavaScript         |         45 |          0 |          9 |         54 |
| c:\Ministerra\frontend\src\hooks\useCommentsMan.js                                                           | JavaScript         |         49 |          3 |          5 |         57 |
| c:\Ministerra\frontend\src\hooks\useErrorsMan.js                                                             | JavaScript         |         60 |          0 |         15 |         75 |
| c:\Ministerra\frontend\src\hooks\useFadeIn.js                                                                | JavaScript         |         21 |          0 |          4 |         25 |
| c:\Ministerra\frontend\src\hooks\useLinksAndBlocks.js                                                        | JavaScript         |         99 |          9 |         13 |        121 |
| c:\Ministerra\frontend\src\hooks\useMasonResize.js                                                           | JavaScript         |         31 |          0 |          9 |         40 |
| c:\Ministerra\frontend\src\hooks\useScrollDir.js                                                             | JavaScript         |         18 |          0 |          3 |         21 |
| c:\Ministerra\frontend\src\hooks\useSocketIO.js                                                              | JavaScript         |          3 |          2 |          2 |          7 |
| c:\Ministerra\frontend\src\hooks\useToast.jsx                                                                | JavaScript JSX     |         59 |          4 |         14 |         77 |
| c:\Ministerra\frontend\src\loaders\editorLoader.js                                                           | JavaScript         |         20 |          1 |          8 |         29 |
| c:\Ministerra\frontend\src\loaders\eventLoader.js                                                            | JavaScript         |         85 |          1 |         17 |        103 |
| c:\Ministerra\frontend\src\loaders\foundationLoader.js                                                       | JavaScript         |        293 |          1 |         30 |        324 |
| c:\Ministerra\frontend\src\loaders\setupLoader.js                                                            | JavaScript         |         14 |          1 |          3 |         18 |
| c:\Ministerra\frontend\src\mainSections\AdvancedSetup.jsx                                                    | JavaScript JSX     |        319 |         14 |         27 |        360 |
| c:\Ministerra\frontend\src\mainSections\Editor.jsx                                                           | JavaScript JSX     |        548 |         45 |         43 |        636 |
| c:\Ministerra\frontend\src\mainSections\Entrance.jsx                                                         | JavaScript JSX     |          9 |          0 |          3 |         12 |
| c:\Ministerra\frontend\src\mainSections\Event.jsx                                                            | JavaScript JSX     |        191 |         16 |         22 |        229 |
| c:\Ministerra\frontend\src\mainSections\Foundation.jsx                                                       | JavaScript JSX     |         72 |         13 |          7 |         92 |
| c:\Ministerra\frontend\src\mainSections\Home.jsx                                                             | JavaScript JSX     |        363 |         44 |         38 |        445 |
| c:\Ministerra\frontend\src\mainSections\ProfileSetup.jsx                                                     | JavaScript JSX     |        107 |          7 |          9 |        123 |
| c:\Ministerra\frontend\src\mainSections\Setup.jsx                                                            | JavaScript JSX     |        245 |         17 |         26 |        288 |
| c:\Ministerra\frontend\src\utils\getToken.js                                                                 | JavaScript         |         14 |          2 |          3 |         19 |
| c:\Ministerra\frontend\src\utils\locationUtils.js                                                            | JavaScript         |        125 |          9 |         16 |        150 |
| c:\Ministerra\frontend\src\utils\userProfileUtils.js                                                         | JavaScript         |         34 |          1 |          5 |         40 |
| c:\Ministerra\frontend\src\variables.jsx                                                                     | JavaScript JSX     |         27 |          0 |          0 |         27 |
| c:\Ministerra\frontend\vite.config.js                                                                        | JavaScript         |         44 |          6 |          3 |         53 |
| c:\Ministerra\frontend\vite.config.js.timestamp-1699023498311-16bd62249686c.mjs                              | JavaScript         |         12 |          2 |          1 |         15 |
| c:\Ministerra\frontend\workers\forageSetWorker.js                                                            | JavaScript         |        149 |         13 |         15 |        177 |
| c:\Ministerra\package-lock.json                                                                              | JSON               |        388 |          0 |          1 |        389 |
| c:\Ministerra\package.json                                                                                   | JSON               |         21 |          0 |          1 |         22 |
| c:\Ministerra\scripts\docker-clean.js                                                                        | JavaScript         |         87 |          8 |         17 |        112 |
| c:\Ministerra\test_extraction.js                                                                             | JavaScript         |         26 |          3 |         10 |         39 |
| Total                                                                                                        |                    |     60,717 |      2,134 |      4,792 |     67,643 |
+--------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
