Date : 2025-11-23 20:18:16
Directory : c:\Ministerra
Total : 278 files,  60717 codes, 2134 comments, 4792 blanks, all 67643 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Ministerra\backend\modules\setup\index.js                                                                 | JavaScript         |        104 |         10 |         18 |        132 |
| c:\Ministerra\backend\modules\setup\sanitize.js                                                              | JavaScript         |        172 |          0 |         22 |        194 |
| c:\Ministerra\backend\modules\user.js                                                                        | JavaScript         |        230 |         14 |         24 |        268 |
| c:\Ministerra\backend\monitoring\alertmanager\alertmanager.yml                                               | YAML               |          8 |          0 |          5 |         13 |
| c:\Ministerra\backend\monitoring\blackbox\blackbox.yml                                                       | YAML               |         12 |          0 |          4 |         16 |
| c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\backend-red.json                       | JSON               |         31 |          0 |          1 |         32 |
| c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\cluster.json                           | JSON               |         15 |          0 |          5 |         20 |
| c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\endpoints.json                         | JSON               |         70 |          0 |          4 |         74 |
| c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\nodejs-runtime.json                    | JSON               |         17 |          0 |          4 |         21 |
| c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\overview.json                          | JSON               |        349 |          0 |          7 |        356 |
| c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards-json\socketio.json                          | JSON               |         11 |          0 |          4 |         15 |
| c:\Ministerra\backend\monitoring\grafana\provisioning\dashboards\dashboards.yml                              | YAML               |         11 |          0 |          1 |         12 |
| c:\Ministerra\backend\monitoring\grafana\provisioning\datasources\datasources.yml                            | YAML               |         21 |          0 |          1 |         22 |
| c:\Ministerra\backend\monitoring\loki\loki-config.yml                                                        | YAML               |         36 |          0 |          8 |         44 |
| c:\Ministerra\backend\monitoring\otel-collector\otel-collector-config.yaml                                   | YAML               |         44 |          0 |          8 |         52 |
| c:\Ministerra\backend\monitoring\prometheus\alerts\basic.yml                                                 | YAML               |         51 |          0 |          6 |         57 |
| c:\Ministerra\backend\monitoring\prometheus\alerts\slo-burn.yml                                              | YAML               |         21 |          1 |          6 |         28 |
| c:\Ministerra\backend\monitoring\prometheus\prometheus.yml                                                   | YAML               |         52 |          1 |         12 |         65 |
| c:\Ministerra\backend\monitoring\promtail\promtail-config.yml                                                | YAML               |         77 |          0 |          4 |         81 |
| c:\Ministerra\backend\monitoring\tempo\tempo-config.yml                                                      | YAML               |         18 |          0 |          7 |         25 |
| c:\Ministerra\backend\nodemon.json                                                                           | JSON               |         24 |          0 |          1 |         25 |
| c:\Ministerra\backend\otel.js                                                                                | JavaScript         |         45 |          1 |          8 |         54 |
| c:\Ministerra\backend\package-lock.json                                                                      | JSON               |      9,941 |          0 |          1 |      9,942 |
| c:\Ministerra\backend\package.json                                                                           | JSON               |         90 |          0 |          1 |         91 |
| c:\Ministerra\backend\router.js                                                                              | JavaScript         |         42 |          0 |          4 |         46 |
| c:\Ministerra\backend\systems\handlers\cacher.js                                                             | JavaScript         |        221 |         29 |         38 |        288 |
| c:\Ministerra\backend\systems\handlers\catcher.js                                                            | JavaScript         |        146 |          1 |          8 |        155 |
| c:\Ministerra\backend\systems\handlers\circuitBreaker.js                                                     | JavaScript         |        204 |          4 |         39 |        247 |
| c:\Ministerra\backend\systems\handlers\emitter.js                                                            | JavaScript         |        249 |         16 |         40 |        305 |
| c:\Ministerra\backend\systems\handlers\loggers.js                                                            | JavaScript         |      1,001 |          0 |        140 |      1,141 |
| c:\Ministerra\backend\systems\handlers\querer.js                                                             | JavaScript         |         44 |          3 |          5 |         52 |
| c:\Ministerra\backend\systems\handlers\streamUtils.js                                                        | JavaScript         |         97 |          3 |         10 |        110 |
| c:\Ministerra\backend\systems\handlers\streamer.js                                                           | JavaScript         |        155 |          8 |         22 |        185 |
| c:\Ministerra\backend\systems\handlers\writer.js                                                             | JavaScript         |        292 |         11 |         48 |        351 |
| c:\Ministerra\backend\systems\kafka\manager.js                                                               | JavaScript         |        145 |         44 |         35 |        224 |
| c:\Ministerra\backend\systems\mysql\mysql.js                                                                 | JavaScript         |        469 |         10 |         50 |        529 |
| c:\Ministerra\backend\systems\redis\master.conf                                                              | Properties         |          3 |          2 |          3 |          8 |
| c:\Ministerra\backend\systems\redis\redis.js                                                                 | JavaScript         |        384 |         14 |         19 |        417 |
| c:\Ministerra\backend\systems\redis\sentinel1.conf                                                           | Properties         |         16 |          1 |          8 |         25 |
| c:\Ministerra\backend\systems\redis\sentinel2.conf                                                           | Properties         |         17 |          1 |          6 |         24 |
| c:\Ministerra\backend\systems\redis\sentinel3.conf                                                           | Properties         |         17 |          1 |          4 |         22 |
| c:\Ministerra\backend\systems\redis\slave.conf                                                               | Properties         |         10 |          1 |          4 |         15 |
| c:\Ministerra\backend\systems\socket\chatHandlers.js                                                         | JavaScript         |        175 |         10 |         28 |        213 |
| c:\Ministerra\backend\systems\socket\socket.js                                                               | JavaScript         |        629 |         16 |         88 |        733 |
| c:\Ministerra\backend\systems\systems.js                                                                     | JavaScript         |         11 |          0 |          2 |         13 |
| c:\Ministerra\backend\systems\worker\worker.js                                                               | JavaScript         |        639 |         34 |        122 |        795 |
| c:\Ministerra\backend\tasks\chatMessages.js                                                                  | JavaScript         |         83 |         20 |         17 |        120 |
| c:\Ministerra\backend\tasks\comments.js                                                                      | JavaScript         |         94 |         10 |         10 |        114 |
| c:\Ministerra\backend\tasks\dailyRecalc.js                                                                   | JavaScript         |        438 |         22 |         63 |        523 |
| c:\Ministerra\backend\tasks\flagChanges.js                                                                   | JavaScript         |        158 |          6 |         29 |        193 |
| c:\Ministerra\backend\tasks\hourlyRecalc.js                                                                  | JavaScript         |         25 |          6 |          7 |         38 |
| c:\Ministerra\backend\tasks\invites.js                                                                       | JavaScript         |        175 |         11 |         17 |        203 |
| c:\Ministerra\backend\tasks\lastSeenMess.js                                                                  | JavaScript         |         89 |         15 |         13 |        117 |
| c:\Ministerra\backend\tasks\userInteractions.js                                                              | JavaScript         |        371 |         25 |         44 |        440 |
| c:\Ministerra\backend\utilities\contentFilters.js                                                            | JavaScript         |        158 |         12 |         22 |        192 |
| c:\Ministerra\backend\utilities\contentHelpers.js                                                            | JavaScript         |        321 |         47 |         52 |        420 |
| c:\Ministerra\backend\utilities\helpers.js                                                                   | JavaScript         |        184 |         20 |         25 |        229 |
| c:\Ministerra\backend\utilities\sanitize.js                                                                  | JavaScript         |        174 |         11 |         20 |        205 |
| c:\Ministerra\backend\variables.js                                                                           | JavaScript         |         27 |          4 |          5 |         36 |
| c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-11-22T14-43-52-092Z.json   | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-09T04-24-45-254Z.json | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-11T23-33-03-799Z.json | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-12T01-04-20-051Z.json | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-12T01-58-37-879Z.json | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-13T21-08-37-381Z.json | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-13T21-12-42-059Z.json | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\backend\writeFailures\userInteractions_eve_stats_non-retriable_0_2025-11-20T18-56-33-720Z.json | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\database_migration_idempotency.sql                                                             | MS SQL             |         16 |         80 |         18 |        114 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\details.md                                         | Markdown           |         83 |          0 |          6 |         89 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\diff-details.md                                    | Markdown           |         56 |          0 |          6 |         62 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\diff.csv                                           | CSV                |         49 |          0 |          0 |         49 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\diff.md                                            | Markdown           |         27 |          0 |          7 |         34 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\results.csv                                        | CSV                |         76 |          0 |          0 |         76 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\results.json                                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-09-08_08-58-49\results.md                                         | Markdown           |         32 |          0 |          7 |         39 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\details.md                                         | Markdown           |         86 |          0 |          6 |         92 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\diff-details.md                                    | Markdown           |         67 |          0 |          6 |         73 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\diff.csv                                           | CSV                |         60 |          0 |          0 |         60 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\diff.md                                            | Markdown           |         27 |          0 |          7 |         34 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\results.csv                                        | CSV                |         79 |          0 |          0 |         79 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\results.json                                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\frontend\.VSCodeCounter\2024-10-09_18-13-22\results.md                                         | Markdown           |         32 |          0 |          7 |         39 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\details.md                                         | Markdown           |        117 |          0 |          6 |        123 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\diff-details.md                                    | Markdown           |        127 |          0 |          6 |        133 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\diff.csv                                           | CSV                |        120 |          0 |          0 |        120 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\diff.md                                            | Markdown           |         36 |          0 |          7 |         43 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\results.csv                                        | CSV                |        110 |          0 |          0 |        110 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\results.json                                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-01-01_01-53-44\results.md                                         | Markdown           |         38 |          0 |          7 |         45 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\details.md                                         | Markdown           |        119 |          0 |          6 |        125 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\diff-details.md                                    | Markdown           |         71 |          0 |          6 |         77 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\diff.csv                                           | CSV                |         64 |          0 |          0 |         64 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\diff.md                                            | Markdown           |         29 |          0 |          7 |         36 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\results.csv                                        | CSV                |        112 |          0 |          0 |        112 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\results.json                                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_00-59-40\results.md                                         | Markdown           |         38 |          0 |          7 |         45 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\details.md                                         | Markdown           |        119 |          0 |          6 |        125 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\diff-details.md                                    | Markdown           |          9 |          0 |          6 |         15 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\diff.csv                                           | CSV                |          2 |          0 |          0 |          2 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\diff.md                                            | Markdown           |         12 |          0 |          7 |         19 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\results.csv                                        | CSV                |        112 |          0 |          0 |        112 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\results.json                                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Ministerra\frontend\.VSCodeCounter\2025-03-04_01-00-40\results.md                                         | Markdown           |         38 |          0 |          7 |         45 |
| c:\Ministerra\frontend\.eslintrc.json                                                                        | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\Ministerra\frontend\.github\workflows\development.yml                                                     | YAML               |         50 |          0 |         10 |         60 |
| c:\Ministerra\frontend\Dockerfile                                                                            | Docker             |         21 |          4 |          7 |         32 |
| c:\Ministerra\frontend\cssHelpers\README.md                                                                  | Markdown           |         61 |          0 |         35 |         96 |
| c:\Ministerra\frontend\cssHelpers\analyze_classes.js                                                         | JavaScript         |         69 |         13 |         24 |        106 |
| c:\Ministerra\frontend\cssHelpers\clean_css.js                                                               | JavaScript         |        125 |         20 |         29 |        174 |
| c:\Ministerra\frontend\cssHelpers\post_process_css.js                                                        | JavaScript         |         44 |          5 |         10 |         59 |
| c:\Ministerra\frontend\helpers.jsx                                                                           | JavaScript JSX     |        763 |         86 |         79 |        928 |
| c:\Ministerra\frontend\index.html                                                                            | HTML               |         17 |          0 |          3 |         20 |
| c:\Ministerra\frontend\nodemon.json                                                                          | JSON               |          9 |          0 |          4 |         13 |
| c:\Ministerra\frontend\package-lock.json                                                                     | JSON               |      6,165 |          0 |          1 |      6,166 |
| c:\Ministerra\frontend\package.json                                                                          | JSON               |         50 |          0 |          1 |         51 |
| c:\Ministerra\frontend\public\icons\types\SVG\0.svg                                                          | XML                |        154 |          0 |          1 |        155 |
| c:\Ministerra\frontend\public\icons\types\SVG\1.svg                                                          | XML                |         90 |          0 |          1 |         91 |
| c:\Ministerra\frontend\public\icons\types\SVG\10.svg                                                         | XML                |        121 |          0 |          1 |        122 |
| c:\Ministerra\frontend\public\icons\types\SVG\11.svg                                                         | XML                |         48 |          0 |          1 |         49 |
| c:\Ministerra\frontend\public\icons\types\SVG\12.svg                                                         | XML                |         25 |          0 |          1 |         26 |
| c:\Ministerra\frontend\public\icons\types\SVG\13.svg                                                         | XML                |         84 |          0 |          1 |         85 |
| c:\Ministerra\frontend\public\icons\types\SVG\14.svg                                                         | XML                |        132 |          0 |          1 |        133 |
| c:\Ministerra\frontend\public\icons\types\SVG\2.svg                                                          | XML                |         76 |          0 |          1 |         77 |
| c:\Ministerra\frontend\public\icons\types\SVG\3.svg                                                          | XML                |         84 |          0 |          1 |         85 |
| c:\Ministerra\frontend\public\icons\types\SVG\4.svg                                                          | XML                |        281 |          0 |          1 |        282 |
| c:\Ministerra\frontend\public\icons\types\SVG\5.svg                                                          | XML                |        500 |          0 |          1 |        501 |
| c:\Ministerra\frontend\public\icons\types\SVG\6.svg                                                          | XML                |        195 |          0 |          1 |        196 |
| c:\Ministerra\frontend\public\icons\types\SVG\7.svg                                                          | XML                |         88 |          0 |          1 |         89 |
| c:\Ministerra\frontend\public\icons\types\SVG\8.svg                                                          | XML                |        142 |          0 |          1 |        143 |
| c:\Ministerra\frontend\public\icons\types\SVG\9.svg                                                          | XML                |         68 |          0 |          1 |         69 |
| c:\Ministerra\frontend\sources.jsx                                                                           | JavaScript JSX     |        310 |          7 |         15 |        332 |
| c:\Ministerra\frontend\src\App.jsx                                                                           | JavaScript JSX     |        231 |         36 |         32 |        299 |
| c:\Ministerra\frontend\src\LoaderFunctions.jsx                                                               | JavaScript JSX     |        111 |         21 |         24 |        156 |
| c:\Ministerra\frontend\src\Router.jsx                                                                        | JavaScript JSX     |         68 |          1 |          4 |         73 |
| c:\Ministerra\frontend\src\WORKING.JSX                                                                       | JavaScript JSX     |        100 |          0 |          9 |        109 |
| c:\Ministerra\frontend\src\comp\Basics.jsx                                                                   | JavaScript JSX     |         91 |          6 |          9 |        106 |
| c:\Ministerra\frontend\src\comp\BsChangeHomeView.jsx                                                         | JavaScript JSX     |         39 |          0 |          1 |         40 |
| c:\Ministerra\frontend\src\comp\BsContView.jsx                                                               | JavaScript JSX     |         81 |          0 |          4 |         85 |
| c:\Ministerra\frontend\src\comp\BsDynamic.jsx                                                                | JavaScript JSX     |         60 |          0 |          5 |         65 |
