"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "JavaScript JSX", "MS SQL", "HTML", "CSS", "Properties", "comment", "blank", "total"
"c:\Ministerra\frontend\src\loaders\eventLoader.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
"c:\Ministerra\frontend\src\loaders\foundationLoader.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Ministerra\frontend\src\mainSections\AdvancedSetup.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 4, 15
"c:\Ministerra\frontend\src\mainSections\Editor.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 1, 28
"c:\Ministerra\frontend\src\mainSections\Entrance.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 0, 12
"c:\Ministerra\frontend\src\mainSections\Event.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 3, 35
"c:\Ministerra\frontend\src\mainSections\Foundation.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 0, 8
"c:\Ministerra\frontend\src\mainSections\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 3, 6, 50
"c:\Ministerra\frontend\src\mainSections\ProfileSetup.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"c:\Ministerra\frontend\src\mainSections\Setup.jsx", "JavaScript JSX", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, -12
"c:\Ministerra\frontend\src\utils\cryptoUtils.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 8, 7, 67
"c:\Ministerra\frontend\src\utils\dateTimeUtils.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 7, 16, 115
"c:\Ministerra\frontend\src\utils\locationUtils.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 9, 0, 34
"c:\Ministerra\frontend\src\utils\objectUtils.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 10, 7, 79
"c:\Ministerra\frontend\src\variables.jsx", "JavaScript JSX", 0, 0, 0, 0, -3, 0, 0, 0, 0, 6, 2, 5
"c:\Ministerra\frontend\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Ministerra\frontend\vite.config.js.timestamp-1699023498311-16bd62249686c.mjs", "JavaScript", 0, -12, 0, 0, 0, 0, 0, 0, 0, -2, -1, -15
"c:\Ministerra\frontend\workers\forageSetWorker.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 16, 9, 53
"c:\Ministerra\package.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Ministerra\shared\constants.js", "JavaScript", 0, 1053, 0, 0, 0, 0, 0, 0, 0, 347, 124, 1524
"c:\Ministerra\test_extraction.js", "JavaScript", 0, -26, 0, 0, 0, 0, 0, 0, 0, -3, -10, -39
"Total", "-", 230, 1190, 228, 41, 805, 31, -2, -804, 1, 2421, 428, 4569
