"filename", "language", "JSON", "JavaScript", "Markdown", "YAML", "JavaScript JSX", "MS SQL", "HTML", "CSS", "Properties", "comment", "blank", "total"
"c:\Ministerra\backend\writeFailures\chatMessages_newMessages_non-retriable_0_2025-12-28T09-27-56-740Z.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatsLastMessage_chatsLastMessage_non-retriable_0_2025-12-14T03-18-24-794Z.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\backend\writeFailures\chatsLastMessage_chatsLastMessage_non-retriable_0_2025-12-20T23-41-57-175Z.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\TODO.md", "Markdown", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 20, 77
"c:\Ministerra\frontend\eslint.config.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 2, 4, 49
"c:\Ministerra\frontend\helpers.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, -7, 6, 47
"c:\Ministerra\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, -2
"c:\Ministerra\frontend\package-lock.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Ministerra\frontend\package.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\sources.jsx", "JavaScript JSX", 0, 0, 0, 0, -20, 0, 0, 0, 0, 1, 0, -19
"c:\Ministerra\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, -24, 0, 0, 0, 0, 9, -10, -25
"c:\Ministerra\frontend\src\LoaderFunctions.jsx", "JavaScript JSX", 0, 0, 0, 0, -14, 0, 0, 0, 0, -7, -12, -33
"c:\Ministerra\frontend\src\Router.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 16
"c:\Ministerra\frontend\src\comp\Basics.jsx", "JavaScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 0, 12, 0, 14
"c:\Ministerra\frontend\src\comp\BsChangeHomeView.jsx", "JavaScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 12, 2, 17
"c:\Ministerra\frontend\src\comp\BsContView.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 16, 2, 39
"c:\Ministerra\frontend\src\comp\BsDynamic.jsx", "JavaScript JSX", 0, 0, 0, 0, 2, 0, 0, 0, 0, 12, 1, 15
"c:\Ministerra\frontend\src\comp\CatFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 17, 1, 28
"c:\Ministerra\frontend\src\comp\ChatSetup.jsx", "JavaScript JSX", 0, 0, 0, 0, -71, 0, 0, 0, 0, -56, 0, -127
"c:\Ministerra\frontend\src\comp\ChatsList.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 12, 2, 26
"c:\Ministerra\frontend\src\comp\Comment.jsx", "JavaScript JSX", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, -7, -21
"c:\Ministerra\frontend\src\comp\Content.jsx", "JavaScript JSX", 0, 0, 0, 0, -133, 0, 0, 0, 0, -16, -11, -160
"c:\Ministerra\frontend\src\comp\ContentIndis.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, 0, 0, 0, 0, 1, -1, -1
"c:\Ministerra\frontend\src\comp\DateTimePicker.jsx", "JavaScript JSX", 0, 0, 0, 0, -8, 0, 0, 0, 0, 8, -1, -1
"c:\Ministerra\frontend\src\comp\Discussion.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, -6, 1
"c:\Ministerra\frontend\src\comp\EmptyDiv.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 4
"c:\Ministerra\frontend\src\comp\EntranceForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 4, 1, 46
"c:\Ministerra\frontend\src\comp\ErrorBoundary.jsx", "JavaScript JSX", 0, 0, 0, 0, -4, 0, 0, 0, 0, 7, 1, 4
"c:\Ministerra\frontend\src\comp\ErrorPage.jsx", "JavaScript JSX", 0, 0, 0, 0, -11, 0, 0, 0, 0, 11, -2, -2
"c:\Ministerra\frontend\src\comp\EveActionsBs.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 6, 35
"c:\Ministerra\frontend\src\comp\EventBadges.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 3, 35
"c:\Ministerra\frontend\src\comp\EventCard.jsx", "JavaScript JSX", 0, 0, 0, 0, -60, 0, 0, 0, 0, -1, 1, -60
"c:\Ministerra\frontend\src\comp\EventFeedbackProtocol.jsx", "JavaScript JSX", 0, 0, 0, 0, 456, 0, 0, 0, 0, 53, 30, 539
"c:\Ministerra\frontend\src\comp\EventHeaderImage.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Ministerra\frontend\src\comp\FavexAreas.jsx", "JavaScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Ministerra\frontend\src\comp\Filter.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Ministerra\frontend\src\comp\Groups.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0
"c:\Ministerra\frontend\src\comp\HeaderImage.jsx", "JavaScript JSX", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, -4
"c:\Ministerra\frontend\src\comp\History.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, 0, 0, 0, 0, 17, 4, 20
"c:\Ministerra\frontend\src\comp\ImageCropper.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\src\comp\Indicators.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Ministerra\frontend\src\comp\IntersPrivsButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, -1, 16
"c:\Ministerra\frontend\src\comp\Invitations.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, -9, 1, 36
"c:\Ministerra\frontend\src\comp\LocationPicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 5, 53
"c:\Ministerra\frontend\src\comp\LogoAndMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, -15, -10, 10
"c:\Ministerra\frontend\src\comp\Map.jsx", "JavaScript JSX", 0, 0, 0, 0, -136, 0, 0, 0, 0, 32, 6, -98
"c:\Ministerra\frontend\src\comp\Masonry.jsx", "JavaScript JSX", 0, 0, 0, 0, -14, 0, 0, 0, 0, 12, 2, 0
"c:\Ministerra\frontend\src\comp\OpenedChat.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 0, 0, 24, -3, 102
"c:\Ministerra\frontend\src\comp\Personals.jsx", "JavaScript JSX", 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"c:\Ministerra\frontend\src\comp\QuickFriendly.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, -2, -2, 10
"c:\Ministerra\frontend\src\comp\RateAwards.jsx", "JavaScript JSX", 0, 0, 0, 0, -13, 0, 0, 0, 0, 1, 0, -12
"c:\Ministerra\frontend\src\comp\SecEveButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, -3, -23
"c:\Ministerra\frontend\src\comp\Sherlock.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 2, 27
"c:\Ministerra\frontend\src\comp\SimpleProtocol.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Ministerra\frontend\src\comp\SortMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Ministerra\frontend\src\comp\TextArea.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Ministerra\frontend\src\comp\TimesFilter.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 16, 43
"c:\Ministerra\frontend\src\comp\UserCard.jsx", "JavaScript JSX", 0, 0, 0, 0, -10, 0, 0, 0, 0, 22, 4, 16
"c:\Ministerra\frontend\src\comp\bottomMenu\Alerts.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 25, 6, 60
"c:\Ministerra\frontend\src\comp\bottomMenu\Chats\Chat.jsx", "JavaScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 0, 43, 15, 168
"c:\Ministerra\frontend\src\comp\bottomMenu\Chats\chatSetupLogic.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Ministerra\frontend\src\comp\bottomMenu\Chats\quickActions.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7
"c:\Ministerra\frontend\src\comp\bottomMenu\Chats\useChat.js", "JavaScript", 0, -42, 0, 0, 0, 0, 0, 0, 0, 10, -10, -42
"c:\Ministerra\frontend\src\comp\bottomMenu\Gallery\index.jsx", "JavaScript JSX", 0, 0, 0, 0, -87, 0, 0, 0, 0, 0, 11, -76
"c:\Ministerra\frontend\src\comp\bottomMenu\Menu.jsx", "JavaScript JSX", 0, 0, 0, 0, -1, 0, 0, 0, 0, 10, 4, 13
"c:\Ministerra\frontend\src\comp\bottomMenu\Search.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Ministerra\frontend\src\comp\contentStrips\AlertStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 14, 4, 39
"c:\Ministerra\frontend\src\comp\contentStrips\ChatStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 1, 22
"c:\Ministerra\frontend\src\comp\contentStrips\EventStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"c:\Ministerra\frontend\src\comp\contentStrips\MessageStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 0, 19
"c:\Ministerra\frontend\src\comp\contentStrips\UserStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 1, 26
