"filename", "language", "Ignore", "JSON with Comments", "JSON", "JavaScript", "JavaScript JSX", "HTML", "Markdown", "YAML", "CSV", "Properties", "Docker", "CSS", "XML", "MS SQL", "comment", "blank", "total"
"c:\Ministerra\FrontEnd\src\comp\SecEveButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Ministerra\FrontEnd\src\comp\Sherlock.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 79
"c:\Ministerra\FrontEnd\src\comp\SimpleProtocol.jsx", "JavaScript JSX", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 193
"c:\Ministerra\FrontEnd\src\comp\SortMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Ministerra\FrontEnd\src\comp\TextArea.jsx", "JavaScript JSX", 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 215
"c:\Ministerra\FrontEnd\src\comp\UserCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 21, 394
"c:\Ministerra\FrontEnd\src\comp\bottomMenu\Alerts.jsx", "JavaScript JSX", 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22, 278
"c:\Ministerra\FrontEnd\src\comp\bottomMenu\Chat.jsx", "JavaScript JSX", 0, 0, 0, 0, 801, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 87, 953
"c:\Ministerra\FrontEnd\src\comp\bottomMenu\Gallery\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 34, 486
"c:\Ministerra\FrontEnd\src\comp\bottomMenu\Gallery\updateGalleryArrays.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 69
"c:\Ministerra\FrontEnd\src\comp\bottomMenu\Menu.jsx", "JavaScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Ministerra\FrontEnd\src\comp\bottomMenu\Search.jsx", "JavaScript JSX", 0, 0, 0, 0, 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 28, 375
"c:\Ministerra\FrontEnd\src\comp\contentStrips\AlertStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 246
"c:\Ministerra\FrontEnd\src\comp\contentStrips\ChatStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 121
"c:\Ministerra\FrontEnd\src\comp\contentStrips\EventStrip.jsx", "JavaScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 150
